epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,34644.4,1.22859,0.99048,1.14977,0.77059,0.59919,0.67291,0.4277,1.37839,1.04435,1.23467,0.004456,0.004456,0.004456
58,35258.8,1.23467,0.97955,1.15402,0.7408,0.61697,0.67717,0.42752,1.38679,1.0512,1.23519,0.004357,0.004357,0.004357
59,35872.7,1.2153,0.95928,1.13922,0.74694,0.60596,0.67828,0.43062,1.37682,1.04102,1.23153,0.004258,0.004258,0.004258
60,36487.1,1.21786,0.96354,1.14691,0.73306,0.62442,0.68175,0.43668,1.36882,1.02615,1.22255,0.004159,0.004159,0.004159
61,37101.2,1.20681,0.94784,1.14346,0.77687,0.6044,0.68064,0.43489,1.35702,1.02898,1.22422,0.00406,0.00406,0.00406
62,37715.8,1.19998,0.94575,1.13894,0.76223,0.62357,0.69982,0.43826,1.35319,1.01625,1.21675,0.003961,0.003961,0.003961
63,38329.4,1.20205,0.93547,1.13674,0.75899,0.62917,0.68467,0.43477,1.36701,1.02281,1.22057,0.003862,0.003862,0.003862
64,38943,1.18768,0.92289,1.12964,0.77498,0.61638,0.68595,0.43565,1.37027,1.02755,1.22757,0.003763,0.003763,0.003763
65,39556.3,1.19077,0.92589,1.12926,0.77192,0.62202,0.69465,0.44181,1.37079,1.00659,1.23316,0.003664,0.003664,0.003664
66,40169.4,1.19219,0.91854,1.12858,0.77877,0.61455,0.68729,0.43369,1.39082,1.00816,1.24728,0.003565,0.003565,0.003565
67,40782.6,1.17484,0.911,1.12628,0.76142,0.62504,0.69171,0.44019,1.37149,1.01234,1.22819,0.003466,0.003466,0.003466
68,41396,1.17337,0.89839,1.12261,0.75833,0.62198,0.69504,0.44352,1.35584,1.00426,1.22062,0.003367,0.003367,0.003367
69,42009.6,1.16886,0.89839,1.11673,0.7734,0.61677,0.69836,0.44717,1.36152,0.98862,1.22334,0.003268,0.003268,0.003268
70,42622.2,1.16517,0.88647,1.1166,0.77854,0.61069,0.7021,0.44843,1.36834,0.98437,1.22808,0.003169,0.003169,0.003169
71,43235,1.15538,0.87486,1.11186,0.75979,0.62188,0.69948,0.44624,1.35899,1.00137,1.21976,0.00307,0.00307,0.00307
72,43848.9,1.15038,0.87714,1.10925,0.76124,0.62287,0.70085,0.45049,1.35316,0.98959,1.21499,0.002971,0.002971,0.002971
73,44463.8,1.14456,0.86489,1.10673,0.77765,0.61221,0.69566,0.44283,1.35784,1.00279,1.22049,0.002872,0.002872,0.002872
74,45079.3,1.14734,0.8625,1.10786,0.76754,0.62035,0.69382,0.44412,1.36651,1.00161,1.23231,0.002773,0.002773,0.002773
75,45694.7,1.14488,0.85259,1.1051,0.79348,0.6034,0.69586,0.44328,1.37559,0.99655,1.23671,0.002674,0.002674,0.002674
76,46305.9,1.13872,0.85063,1.1032,0.77382,0.61249,0.69542,0.4455,1.36829,0.9957,1.21884,0.002575,0.002575,0.002575
77,46888.6,1.13353,0.84353,1.10634,0.80297,0.61032,0.70143,0.44583,1.35913,0.98383,1.22353,0.002476,0.002476,0.002476
78,47470.5,1.122,0.83156,1.09571,0.77564,0.6263,0.70255,0.4468,1.36466,0.97977,1.22586,0.002377,0.002377,0.002377
79,48052.7,1.12786,0.83447,1.09815,0.78715,0.61579,0.6991,0.4436,1.37573,0.9791,1.23291,0.002278,0.002278,0.002278
80,48634.7,1.11075,0.81998,1.09288,0.79234,0.61966,0.70508,0.44866,1.36374,0.97228,1.22585,0.002179,0.002179,0.002179
81,49216.1,1.10969,0.81979,1.09199,0.80638,0.6158,0.70154,0.44841,1.36716,0.97467,1.22545,0.00208,0.00208,0.00208
82,49797.6,1.10439,0.80965,1.08936,0.76734,0.64321,0.70421,0.44951,1.36901,0.97815,1.22988,0.001981,0.001981,0.001981
83,50380.2,1.10677,0.81042,1.08542,0.76662,0.63634,0.70382,0.45086,1.36512,0.97823,1.2253,0.001882,0.001882,0.001882
84,50965,1.09786,0.80753,1.08266,0.76059,0.6347,0.7025,0.45049,1.36809,0.98146,1.22738,0.001783,0.001783,0.001783
85,51547.3,1.09553,0.80098,1.08094,0.7469,0.64229,0.70037,0.44574,1.36417,0.99669,1.22508,0.001684,0.001684,0.001684
86,52129.3,1.08781,0.79068,1.07874,0.77064,0.63832,0.7019,0.44964,1.367,0.98107,1.22951,0.001585,0.001585,0.001585
87,52711.5,1.08415,0.7863,1.07643,0.781,0.63427,0.70457,0.44862,1.36649,0.98728,1.23331,0.001486,0.001486,0.001486
88,53292.3,1.0721,0.77754,1.07371,0.7719,0.63752,0.70315,0.44808,1.37586,0.98586,1.23674,0.001387,0.001387,0.001387
89,53874.1,1.07999,0.78415,1.07703,0.77747,0.6337,0.70276,0.44783,1.37471,0.98048,1.24077,0.001288,0.001288,0.001288
90,54455.9,1.07535,0.77504,1.07261,0.7703,0.62854,0.70037,0.44652,1.37739,0.98258,1.23901,0.001189,0.001189,0.001189
91,55037.7,1.00633,0.62018,1.02151,0.75408,0.62649,0.69333,0.44239,1.37224,0.98794,1.24042,0.00109,0.00109,0.00109
92,55619.8,0.9846,0.59767,1.01188,0.77228,0.62028,0.69548,0.44341,1.37254,0.99402,1.24083,0.000991,0.000991,0.000991
93,56201.5,0.97374,0.58731,1.00994,0.78126,0.6198,0.6988,0.44617,1.37322,0.98833,1.24529,0.000892,0.000892,0.000892
94,56784.8,0.97299,0.57656,1.0071,0.76747,0.62606,0.6974,0.44364,1.37303,0.99222,1.24422,0.000793,0.000793,0.000793
95,57367.8,0.96033,0.56836,1.00141,0.77619,0.61765,0.69299,0.44247,1.37576,0.99905,1.24289,0.000694,0.000694,0.000694
96,57951.4,0.95821,0.56285,0.99878,0.78988,0.61336,0.69451,0.44276,1.37938,1.00052,1.24311,0.000595,0.000595,0.000595
97,58535.9,0.95655,0.56143,0.99884,0.77529,0.62113,0.69663,0.44335,1.37614,0.99926,1.24271,0.000496,0.000496,0.000496
98,59120.4,0.94066,0.55437,0.99302,0.78509,0.61674,0.69546,0.44255,1.37572,0.99881,1.24413,0.000397,0.000397,0.000397
99,59704.8,0.94253,0.54945,0.99463,0.78385,0.61183,0.69357,0.44178,1.3754,1,1.24481,0.000298,0.000298,0.000298
100,60289.2,0.93269,0.547,0.98869,0.79926,0.60672,0.69336,0.44097,1.3779,1.00021,1.24688,0.000199,0.000199,0.000199
