epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,19689.1,1.29647,1.01759,1.10423,0.67705,0.51997,0.5655,0.33915,1.48761,1.11975,1.20237,0.001783,0.001783,0.001783
85,19923,1.29482,1.01183,1.10476,0.67134,0.50698,0.56506,0.33987,1.48777,1.108,1.20398,0.001684,0.001684,0.001684
86,20157,1.29117,0.99938,1.10436,0.68744,0.51162,0.57044,0.34285,1.48584,1.1058,1.20005,0.001585,0.001585,0.001585
87,20390.7,1.28689,1.00115,1.10166,0.69244,0.50844,0.57316,0.34592,1.48892,1.10468,1.2021,0.001486,0.001486,0.001486
88,20624.8,1.2736,0.98254,1.09652,0.66853,0.51284,0.56896,0.34237,1.48791,1.11044,1.20338,0.001387,0.001387,0.001387
89,20858.5,1.27613,0.99401,1.09947,0.676,0.51007,0.56712,0.34213,1.48985,1.10315,1.20441,0.001288,0.001288,0.001288
90,21092.1,1.27675,0.9812,1.09578,0.66598,0.52271,0.56624,0.34176,1.48571,1.11135,1.20198,0.001189,0.001189,0.001189
91,21325.9,1.20896,0.81889,1.06099,0.66432,0.49715,0.55484,0.33482,1.48872,1.13461,1.20523,0.00109,0.00109,0.00109
92,21558.4,1.19121,0.78329,1.04969,0.64861,0.51667,0.55647,0.3378,1.48973,1.13088,1.20315,0.000991,0.000991,0.000991
93,21791,1.17942,0.77175,1.04499,0.66467,0.51093,0.55427,0.33585,1.48853,1.13391,1.20357,0.000892,0.000892,0.000892
94,22023.7,1.17662,0.7636,1.04294,0.67507,0.50717,0.55616,0.33536,1.4899,1.13508,1.20215,0.000793,0.000793,0.000793
95,22256.3,1.16517,0.75085,1.04,0.67916,0.50646,0.55849,0.33936,1.49018,1.13028,1.20177,0.000694,0.000694,0.000694
96,22488.8,1.16233,0.74849,1.03431,0.64636,0.52721,0.56249,0.34083,1.48748,1.12219,1.20211,0.000595,0.000595,0.000595
97,22721.6,1.16189,0.74557,1.0399,0.66482,0.51006,0.56264,0.34233,1.48565,1.11955,1.2008,0.000496,0.000496,0.000496
98,22954.3,1.15082,0.7404,1.03608,0.66879,0.5165,0.56376,0.34082,1.48827,1.12105,1.20038,0.000397,0.000397,0.000397
99,23187.4,1.14904,0.73661,1.03063,0.67747,0.50647,0.56162,0.34003,1.49202,1.12201,1.20384,0.000298,0.000298,0.000298
100,23420.4,1.14975,0.73771,1.03243,0.68951,0.50535,0.56265,0.33991,1.49183,1.12122,1.20367,0.000199,0.000199,0.000199
